POI Id,Name,Favourite dish of your college,Largest value food order at your college,unofficial campus favorite restaurant,The official 12 AM craving / dish,Max number of orders in a week for a student in your college,Highest number of pizzas ordered on a single day,Highest number of biryanis ordered on a single day
c0v89ojmud18qpl381s0,KIIT University,biryani,9668,Burger King,burger,20,101,237
4d74d528-2b1f-43d9-8179-64c8c47d0937,IIT Bombay,biryani,17010,McDonald's,burger,24,120,252
c0v85kbnrs5psrn7ivvg,Thapar Institute of Engineering & Technology,burger,7223,Burger King,burger,16,209,46
67edcee6-58db-4e6f-af3c-8501efbedf57,IIT BHU Varanasi,burger,16195,Capsicum Food Court - Since 2007,burger,19,165,137
7064cbe1-ec14-4e42-a8aa-cade8964586e,AIIMS New Delhi,biryani,22194,McDonald's,burger,35,53,70
205b4553-167b-477f-aff3-e7b48c98d204,BITS Pilani Goa,pizza,10901,KFC,pizza,23,120,82
02e361c0-86da-4044-8a62-3a75ad8b4ff4,IIT Kharagpur,biryani,9332,Amigos,pizza,21,85,207
brjo6q3o07cs2k5c8qkg,IIM Ahmedabad New Campus,burger,14121,McDonald's,burger,27,39,45
4cf4dc98-b43e-4a70-ac36-caa0ac8a59fd,IIIT Delhi,burger,13673,Punjabi Angithi (Vegorama Group),burger,23,40,59
3cf71b17-0f37-4a52-bb75-7d3a317b42ed,University of Hyderabad,biryani,8479,Mehfil,biryani,22,40,155
807e8bd3-fdc6-472b-b3bb-8bee10e6d001,IIIT Hyderabad,biryani,11343,California Burrito,pizza,24,46,68
c0e3vg09tt4h2ptrvpc0,SPJIMR & Bhavans College,burger,5341,"Dabba Garam (Homestyle,Combo, Thali & More)",burger,26,21,32
c0v86brnrs5psrn7j03g,Jawaharlal Institute of Postgraduate Medical Education and Research(JIPMER),biryani,9719,KBS Kofi Bar & Veg Restaurant,pizza,29,38,62
eb8b2f7d-22da-4c37-85e6-9179d3aedf48,Kasturba Medical College,biryani,6772,McDonald's,burger,24,31,52
c0cpqt89tt4h2ptrubug,Indian School of Business,biryani,12607,California Burrito,burger,28,53,50
2f2a711b-e99d-4f89-abb5-89ced497ccac,Maulana Azad National Institute of Technology(MANIT Bhopal),pizza,6556,Sharma Bhojnalaya Jawahar chowk,pizza,16,143,73
c3b58521-fea6-4a74-92b9-cd52d3a56320,Post Graduate Institute of Medical Education & Research,pizza,13809,La Pino'z Pizza,roll,27,45,33
cb4af7d1-772d-47c6-812f-f0a5a4be3cec,Vellore Institute of Technology (VIT),burger,8321,McDonald's,burger,31,46,72
c0e447g9tt4h2ptrvtm0,St John's Medical College & Hospital,biryani,16675,Truffles,burger,24,18,48
a74e0d69-2252-4c35-8e4b-13988d5b069f,Punjab University,pizza,6502,La Pino'z Pizza,pizza,18,139,41
c0v89bbnrs5psrn7j1d0,Christian Medical College(CMC Hospital),biryani,8879,Zufruita,burger,18,23,45
c0v84prnrs5psrn7ivng,Manipal Institute of Technology,burger,5084,Domino's Pizza,pizza,18,52,41
c0df030mlbnfmjbvg9ng,Sharda University,burger,9728,Burger King,burger,15,57,45
b7296aff-2f3e-46b9-b3c4-695e3d235bbd,DYP Medical College,burger,38792,McDonald's,burger,22,30,40
0290b485-1be0-4686-88d4-715a196f82ac,Kalinga Institute of Industrial Technology 4,biryani,6047,Rolls On Wheels,burger,16,33,135
c0cpkuo9tt4h2ptru660,IISER Pune,biryani,11125,Burger King,burger,18,33,50
c0e3mko9tt4h2ptrvhe0,Jaypee Institute of Information Technology,pizza,6049,Wrapperz,roll,18,116,45
c0v85hjmud18qpl38020,Malaviya National Institute Of Technology(MNIT),biryani,12435,Bikkgane Biryani,pizza,22,69,108
741a9d40-b985-464a-a2aa-eca36ef36fd0,Amrita Institute of Medical Sciences and Research Centre(AIMS),biryani,14600,Paragon Restaurant,shawarma,36,19,82
c0v8chbnrs5psrn7j360,Medical College Trivandrum,biryani,8951,Hotel Aryaas,burger,27,22,54
103a685f-28e8-434f-a83b-16f51a15e53d,New Civil Hospital & Government Medical College,burger,15318,McDonald's,burger,28,37,27
ccc5281f-3441-46b8-a58b-9bb4e9199691,Saveetha University,biryani,6685,Ss Hyderabad Biryani,burger,17,19,124
5afd3c6c-d3bb-4d93-b2f8-29c7ecb74822,Manipal Academy of Higher Education(MAHE),burger,10358,McDonald's,cake,14,34,56
7b68220f-5c83-48db-adc7-00d50b4127eb,Punjab Engineering College(PEC College),pizza,6005,La Pino'z Pizza,pizza,25,272,63
c0e43e8mlbnfmjbvh7e0,Sri Ramachandra Institute Of Higher Education And Research,biryani,14062,Shree Mithai,burger,25,22,76
aa39144a-945d-40df-bdb3-46e06ee4368e,Visvesvaraya National Institute of Technology (VNIT),biryani,8303,Hyderabad Biryani.com,burger,20,42,84
7819263d-7e2c-4a71-8281-e181490f963f,IIT Madras,biryani,9114,A2B - Adyar Ananda Bhavan,burger,17,31,45
ba3291e9-58ad-4af6-b8fb-26c0ff14c999,Gujarat University,burger,5850,McDonald's,burger,22,35,25
c0cpq9g9tt4h2ptrubcg,Atal Bihari Vajpayee Institute of Medical Sciences & Dr RML Hospital(PGIMER),biryani,12030,McDonald's,burger,33,24,36
dc0044d7-cd06-41cd-aa8c-7cc685b9ac13,Management Development Institute(MDI),roll,15874,McDonald's,burger,18,24,23
13c08075-233e-4f68-98ec-206aa4c746b6,Indian Institute of Technology (Indian School of Mines) IIT & ISM Dhanbad,biryani,5983,Burger King,pizza,13,58,96
buibiaqstu3qr1u8fvig,SRM Group Of Educational Institutions,burger,8276,Burger King,burger,11,40,53
9c9cbb01-410d-4ace-b4ee-d5fbe79abc24,King George's Medical University(KGMU),biryani,17660,Burger King,burger,20,34,54
187045b5-a41c-4727-8dd7-bacdf696c2e8,Goa Medical College And Hospital,biryani,12915,Tato's Tiffin,burger,21,22,40
d95dbd46-ab33-489d-a1d7-f29e5de895b6,IIT Roorkee - I,roll,8566,Tanishas Royal Hyderabadi Biryani,pizza,15,32,47
9fe73d4b-5bbc-4fc3-969f-3814ac7eb21e,AIIMS Jodhpur,biryani,8814,Janta Sweet Home,pizza,25,29,29
